Zipcode,Accuracy,Precision,Recall,F1 Score
14140,0.25,0.0625,0.25,0.1
10548,0,0,0,0
10113,0.25,0.0625,0.25,0.1
11523,0.071428571,0.005102041,0.071428571,0.00952381
14348,0.333333333,0.111111111,0.333333333,0.166666667
10554,0,0,0,0
11731,0,0,0,0
12234,0.6,0.36,0.6,0.45
10227,0.666666667,0.444444444,0.666666667,0.533333333
13305,0.5,0.333333333,0.5,0.4
10802,0,0,0,0
10814,0.333333333,0.111111111,0.333333333,0.166666667
13534,0,0,0,0
12015,0.6,0.36,0.6,0.45
10455,0.333333333,0.111111111,0.333333333,0.166666667
10038,0.571428571,0.326530612,0.571428571,0.415584416
10212,0,0,0,0
11902,0,0,0,0
11441,0,0,0,0
10439,0.166666667,0.027777778,0.166666667,0.047619048
11033,0.142857143,0.020408163,0.142857143,0.035714286
12529,0.25,0.0625,0.25,0.1
11305,0,0,0,0
98155,0.142857143,0.020408163,0.142857143,0.035714286
13031,0,0,0,0
12724,0.321428571,0.103316327,0.321428571,0.156370656
10448,0,0,0,0
11300,0.4,0.16,0.4,0.228571429
11842,0,0,0,0
12223,0,0,0,0
11701,0.5,0.25,0.5,0.333333333
10125,0,0,0,0
13239,0,0,0,0
12007,0.333333333,0.111111111,0.333333333,0.166666667
10602,0.5,0.5,0.5,0.5
10550,0.25,0.0625,0.25,0.1
14420,0,0,0,0
12550,0.333333333,0.111111111,0.333333333,0.166666667
13518,0.666666667,0.444444444,0.666666667,0.533333333
10331,0.25,0.0625,0.25,0.1
13002,0,0,0,0
10053,0,0,0,0
11103,0,0,0,0
11354,0.333333333,0.111111111,0.333333333,0.166666667
10424,0.2,0.04,0.2,0.066666667
10817,0.5,0.25,0.5,0.333333333
12333,0.157894737,0.024930748,0.157894737,0.043062201
13024,0,0,0,0
10121,0,0,0,0
10236,0.428571429,0.183673469,0.428571429,0.257142857
10617,0.5,0.25,0.5,0.333333333
10223,0.333333333,0.111111111,0.333333333,0.166666667
12560,0,0,0,0
11251,0.25,0.0625,0.25,0.1
12035,0,0,0,0
12047,0.25,0.0625,0.25,0.1
11408,0,0,0,0
14329,0,0,0,0
12003,0.5,0.25,0.5,0.333333333
12733,0,0,0,0
11254,0,0,0,0
10201,0.25,0.0625,0.25,0.1
10225,0.142857143,0.020408163,0.142857143,0.035714286
13310,0.5,0.25,0.5,0.333333333
11014,0,0,0,0
10660,0.5,0.25,0.5,0.333333333
11622,0,0,0,0
22220,0,0,0,0
12613,0.333333333,0.111111111,0.333333333,0.166666667
10605,0,0,0,0
10527,0.2,0.04,0.2,0.066666667
14206,0,0,0,0
12417,0,0,0,0
10509,0,0,0,0
10323,0,0,0,0
13057,0.2,0.04,0.2,0.066666667
13559,0,0,0,0
13616,0,0,0,0
11042,0,0,0,0
12828,0,0,0,0
13055,0,0,0,0
10006,0,0,0,0
12757,0,0,0,0
10016,0.1,0.01,0.1,0.018181818
12617,0,0,0,0
11723,0,0,0,0
11227,0.2,0.04,0.2,0.066666667
10604,0,0,0,0
10261,0.666666667,0.444444444,0.666666667,0.533333333
10710,0.416666667,0.173611111,0.416666667,0.245098039
13118,0,0,0,0
12558,0,0,0,0
11023,1,1,1,1
10302,0,0,0,0
12424,1,1,1,1
10000,0.2,0.04,0.2,0.066666667
13543,0,0,0,0
10800,0.666666667,0.444444444,0.666666667,0.533333333
12822,0,0,0,0
12225,0,0,0,0
11453,0,0,0,0
10820,0,0,0,0
11302,0.333333333,0.111111111,0.333333333,0.166666667
14020,0,0,0,0
10123,0,0,0,0
13059,0,0,0,0
13759,0.5,0.25,0.5,0.333333333
10428,0,0,0,0
12500,0,0,0,0
10057,0,0,0,0
10621,0,0,0,0
11717,0,0,0,0
10457,0,0,0,0
13539,1,1,1,1
13302,0,0,0,0
12324,0.083333333,0.006944444,0.083333333,0.012820513
10231,0.5,0.25,0.5,0.333333333
10202,0,0,0,0
13237,0.25,0.0625,0.25,0.1
10618,0,0,0,0
14333,0,0,0,0
11702,0.333333333,0.111111111,0.333333333,0.166666667
11021,0.666666667,0.444444444,0.666666667,0.533333333
11034,0,0,0,0
13314,0.5,0.25,0.5,0.333333333
11419,0,0,0,0
10433,0.166666667,0.027777778,0.166666667,0.047619048
13046,0.25,0.0625,0.25,0.1
10042,0,0,0,0
10834,0,0,0,0
11333,0,0,0,0
12755,1,1,1,1
12701,0.333333333,0.111111111,0.333333333,0.166666667
12227,0.333333333,0.111111111,0.333333333,0.166666667
11508,0.333333333,0.111111111,0.333333333,0.166666667
10717,0.125,0.015625,0.125,0.027777778
10850,0.5,0.5,0.5,0.5
12259,0.142857143,0.020408163,0.142857143,0.035714286
10535,0,0,0,0
10808,0.5,0.25,0.5,0.333333333
11344,0.5,0.25,0.5,0.333333333
10327,0.4,0.16,0.4,0.228571429
10224,0.5,0.25,0.5,0.333333333
11334,0.222222222,0.049382716,0.222222222,0.080808081
12631,0,0,0,0
13023,0,0,0,0
13017,0.5,0.25,0.5,0.333333333
10317,0,0,0,0
11210,1,1,1,1
10515,0.333333333,0.111111111,0.333333333,0.166666667
11022,0,0,0,0
11110,0,0,0,0
11556,0,0,0,0
13316,0.5,0.25,0.5,0.333333333
13563,0,0,0,0
11724,0,0,0,0
11762,0,0,0,0
11224,1,1,1,1
11546,0,0,0,0
11281,0,0,0,0
11016,0,0,0,0
12304,0,0,0,0
10019,0,0,0,0
13752,0,0,0,0
11542,1,1,1,1
10753,0,0,0,0
12740,0.5,0.25,0.5,0.333333333
12038,0,0,0,0
11114,0,0,0,0
12356,0,0,0,0
10400,0,0,0,0
13179,0.285714286,0.081632653,0.285714286,0.126984127
11900,0,0,0,0
10957,0.5,0.25,0.5,0.333333333
10901,0,0,0,0
10762,1,1,1,1
12758,0.111111111,0.012345679,0.111111111,0.022222222
12510,0.5,0.5,0.5,0.5
10338,0,0,0,0
13710,0.8,0.64,0.8,0.711111111
13721,0,0,0,0
11317,0,0,0,0
13506,0,0,0,0
13544,0,0,0,0
12313,0.5,0.25,0.5,0.333333333
11243,0,0,0,0
11257,0,0,0,0
14328,0.25,0.0625,0.25,0.1
13100,0,0,0,0
13511,0.4,0.16,0.4,0.228571429
10608,0,0,0,0
12354,0.25,0.0625,0.25,0.1
13200,0.333333333,0.111111111,0.333333333,0.166666667
12318,0,0,0,0
10523,0,0,0,0
10916,0,0,0,0
13211,0.5,0.25,0.5,0.333333333
10502,0,0,0,0
12563,0.3,0.09,0.3,0.138461538
10624,1,1,1,1
13320,0,0,0,0
13912,0,0,0,0
